               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.049768,            0.065412,            0.036443,             0.69768,             0.64986,             0.69418,             0.30776,            0.043749,            0.054152,            0.037953,            0.008812,            0.008812,            0.008812
                  38,            0.049329,            0.066721,            0.038354,              0.6473,             0.64635,             0.67894,             0.28855,            0.046052,              0.0543,            0.036401,            0.008779,            0.008779,            0.008779
                  39,              0.0492,            0.067234,            0.034144,             0.78376,             0.63172,             0.72372,             0.33879,            0.041866,            0.054308,            0.035423,            0.008746,            0.008746,            0.008746
                  40,            0.047164,            0.065988,            0.033444,             0.79702,             0.64653,             0.71627,             0.34271,            0.042837,             0.05376,            0.033979,            0.008713,            0.008713,            0.008713
                  41,            0.048664,            0.062611,            0.033501,             0.73132,             0.66602,             0.68996,             0.31296,            0.045447,            0.055367,            0.033823,             0.00868,             0.00868,             0.00868
                  42,            0.047731,             0.05957,            0.030966,             0.77233,             0.65287,             0.72585,             0.33107,            0.041992,            0.055804,            0.033514,            0.008647,            0.008647,            0.008647
                  43,             0.04736,            0.067572,            0.029839,             0.81743,             0.67392,             0.74969,             0.36911,            0.042298,            0.056108,            0.030787,            0.008614,            0.008614,            0.008614
                  44,            0.047545,            0.062897,            0.029012,              0.7912,             0.67447,             0.74612,              0.3574,            0.042999,            0.053374,            0.030769,            0.008581,            0.008581,            0.008581
                  45,            0.047498,            0.065248,            0.029444,             0.79195,             0.66929,             0.72908,             0.33223,            0.044851,            0.054436,            0.029598,            0.008548,            0.008548,            0.008548
                  46,            0.047712,            0.069563,            0.025865,             0.74539,             0.72046,             0.78028,             0.35054,            0.042368,            0.056006,            0.027789,            0.008515,            0.008515,            0.008515
                  47,             0.04779,             0.06674,             0.02699,             0.81778,             0.70241,             0.75156,             0.33115,            0.044433,            0.055965,            0.028025,            0.008482,            0.008482,            0.008482
                  48,            0.047025,            0.065773,            0.026312,             0.79528,             0.68953,             0.73535,             0.32549,            0.046855,            0.056451,            0.027614,            0.008449,            0.008449,            0.008449
                  49,            0.048696,            0.067959,            0.023056,             0.83741,             0.73691,             0.77739,             0.36022,            0.044041,            0.056462,            0.025466,            0.008416,            0.008416,            0.008416
                  50,            0.048653,            0.061827,            0.023115,             0.86358,             0.73889,             0.77774,             0.36655,            0.043698,            0.055956,            0.024447,            0.008383,            0.008383,            0.008383
                  51,            0.048081,            0.063471,            0.022197,             0.84914,             0.74713,             0.77803,             0.37729,            0.043397,             0.05593,            0.024913,             0.00835,             0.00835,             0.00835
                  52,             0.04719,            0.062263,            0.022439,             0.81489,             0.76859,             0.80825,             0.39062,            0.043118,            0.056808,            0.024059,            0.008317,            0.008317,            0.008317
                  53,            0.047749,            0.063568,            0.020811,             0.75324,              0.7383,             0.75525,             0.36588,            0.045226,            0.053116,            0.022501,            0.008284,            0.008284,            0.008284
                  54,            0.048247,            0.062519,            0.020492,             0.81483,             0.69753,             0.75248,             0.33949,            0.044643,            0.057455,            0.025161,            0.008251,            0.008251,            0.008251
                  55,            0.048206,            0.064434,            0.019651,             0.83087,             0.71368,              0.7463,             0.31911,            0.044847,            0.054907,            0.022801,            0.008218,            0.008218,            0.008218
                  56,            0.046594,             0.06541,            0.019067,             0.81054,             0.73508,             0.77202,             0.33614,            0.043764,            0.055154,            0.021505,            0.008185,            0.008185,            0.008185
                  57,            0.047499,            0.062381,             0.01819,             0.79459,             0.74101,             0.76916,             0.34673,            0.044854,            0.055484,            0.021645,            0.008152,            0.008152,            0.008152
                  58,            0.045843,            0.061862,            0.019358,             0.75173,             0.74443,             0.76447,             0.38194,            0.042923,            0.056421,            0.022331,            0.008119,            0.008119,            0.008119
                  59,            0.045779,            0.062615,             0.01782,             0.79999,             0.74546,              0.7666,             0.38912,            0.042065,            0.056465,            0.022991,            0.008086,            0.008086,            0.008086
                  60,            0.046894,            0.065423,            0.017944,             0.70941,             0.75278,             0.76348,             0.37645,            0.042788,            0.055505,             0.02224,            0.008053,            0.008053,            0.008053
                  61,            0.046709,            0.064081,            0.017679,             0.73942,             0.76997,             0.77336,             0.39801,            0.042496,            0.055327,            0.020135,             0.00802,             0.00802,             0.00802
                  62,            0.047446,            0.068414,            0.016076,             0.82235,             0.76914,             0.79669,             0.34295,            0.045656,             0.05722,            0.019502,            0.007987,            0.007987,            0.007987
                  63,            0.046164,            0.061864,            0.017009,             0.80669,             0.77382,             0.80674,             0.37414,            0.044043,            0.056311,            0.019549,            0.007954,            0.007954,            0.007954
                  64,            0.046104,            0.060095,            0.016528,             0.77138,             0.78417,             0.79335,             0.37558,            0.043937,            0.056221,            0.018611,            0.007921,            0.007921,            0.007921
                  65,            0.046022,            0.062267,            0.015132,             0.82189,             0.78113,             0.80977,             0.38892,            0.042942,            0.056152,            0.018147,            0.007888,            0.007888,            0.007888
                  66,            0.046241,            0.062984,             0.01453,             0.79212,             0.72204,             0.77226,             0.34836,            0.044218,            0.057169,            0.021811,            0.007855,            0.007855,            0.007855
                  67,             0.04725,            0.068288,            0.015694,             0.85229,             0.80005,             0.82808,             0.38488,            0.042854,            0.056592,            0.016945,            0.007822,            0.007822,            0.007822
                  68,            0.045362,            0.062781,            0.014912,             0.75176,             0.80268,             0.78903,             0.38484,            0.043727,            0.056728,            0.018803,            0.007789,            0.007789,            0.007789
                  69,            0.045346,            0.063742,            0.013866,             0.78734,             0.75793,             0.80301,             0.40333,            0.043462,            0.056369,            0.018068,            0.007756,            0.007756,            0.007756
                  70,            0.044366,            0.060295,            0.013849,             0.84375,             0.78731,             0.82866,             0.41626,            0.043229,            0.056735,            0.016515,            0.007723,            0.007723,            0.007723
                  71,            0.045504,            0.061299,            0.014543,             0.82111,             0.81666,             0.83371,              0.4195,             0.04314,            0.056674,            0.016278,             0.00769,             0.00769,             0.00769
                  72,            0.045237,            0.064949,            0.013038,             0.82377,             0.82269,             0.83708,             0.39652,            0.042009,            0.056897,            0.016447,            0.007657,            0.007657,            0.007657
                  73,            0.045795,            0.061121,            0.013158,             0.78912,              0.8336,             0.82053,             0.38618,            0.043894,            0.056393,            0.015602,            0.007624,            0.007624,            0.007624
